t, 109.24984441825654, ax, -3.951222222197572e-35, ay, 3.064117875509485e-36, wz, 0.0
t, 109.3570944176754, ax, 814867.25, ay, -63191.8515625, wz, 0.0
t, 109.45609441713896, ax, 0.0, ay, 0.0, wz, 0.0
t, 109.55509441660251, ax, 0.0, ay, 0.0, wz, 0.0
t, 109.65409441606607, ax, 0.0, ay, 0.0, wz, 0.0
t, 109.75309441552963, ax, 1.5535309314727783, ay, -0.23840510845184326, wz, -5.6618318922119215e-06
t, 109.85209441499319, ax, 5.442944049835205, ay, -0.8092528581619263, wz, -6.476988687609264e-07
t, 109.95109441445675, ax, 875.5664672851562, ay, -6.346002578735352, wz, -0.008212445303797722
t, 110.0500944139203, ax, 1157.3438720703125, ay, -7.717166900634766, wz, -0.007580538280308247
t, 110.15734441333916, ax, 926.9132690429688, ay, -4.728192329406738, wz, 0.00038073613541200757
t, 110.25634441280272, ax, 450.77178955078125, ay, -4.042811870574951, wz, -0.005393479019403458
t, 110.35534441226628, ax, 729.2986450195312, ay, -1.3577499389648438, wz, 5.094740117783658e-05
t, 110.45434441172983, ax, 804.2449951171875, ay, 20.829246520996094, wz, 0.003677168395370245
t, 110.5533444111934, ax, 793.7593994140625, ay, 3.5363800525665283, wz, 0.003433691803365946
t, 110.65234441065695, ax, 401.0522766113281, ay, 1.0914963483810425, wz, 0.0025349571369588375
t, 110.75134441012051, ax, -207.9125518798828, ay, 0.6372437477111816, wz, 0.002023356268182397
t, 110.85034440958407, ax, -130.07643127441406, ay, 0.4379032254219055, wz, 0.001840777462348342
t, 110.95759440900292, ax, 586.1636962890625, ay, 0.6150346994400024, wz, 0.0012620696797966957
t, 111.05659440846648, ax, -483.11834716796875, ay, 0.04398798942565918, wz, 0.0011346145765855908
t, 111.15559440793004, ax, -31.599809646606445, ay, 0.34288838505744934, wz, 0.0007949892897158861
t, 111.2545944073936, ax, 12.000547409057617, ay, 0.06518954038619995, wz, 0.0005807916750200093
t, 111.35359440685716, ax, 6.879665851593018, ay, 0.6431715488433838, wz, 0.0009008686174638569
t, 111.45259440632071, ax, -6.879881858825684, ay, 0.017334092408418655, wz, 0.0002266567898914218
t, 111.55159440578427, ax, 0.5600295066833496, ay, 0.07564125210046768, wz, 0.00036257211468182504
t, 111.65059440524783, ax, 2.0769975185394287, ay, 14.94194221496582, wz, 0.018254587426781654
t, 111.75784440466668, ax, 490.0460510253906, ay, 26.759916305541992, wz, 0.01645231433212757
t, 111.85684440413024, ax, -491.1880187988281, ay, 4.543436050415039, wz, 0.013597053475677967
t, 111.9558444035938, ax, 0.015811575576663017, ay, 3.5960142612457275, wz, 0.011240597814321518
t, 112.05484440305736, ax, -0.06443344056606293, ay, 2.8811874389648438, wz, 0.009327373467385769
t, 112.15384440252092, ax, 0.014974362216889858, ay, 2.4005749225616455, wz, 0.007721845991909504
t, 112.25284440198448, ax, 0.09361866116523743, ay, 1.9648908376693726, wz, 0.006395477801561356
t, 112.35184440144803, ax, 0.013028611429035664, ay, 1.7353477478027344, wz, 0.005348765291273594
t, 112.45084440091159, ax, 0.07406754046678543, ay, 8.855510711669922, wz, 0.009361181408166885
t, 112.55809440033045, ax, 490.9568176269531, ay, 6.021615982055664, wz, 0.007647555321455002
t, 112.657094399794, ax, -490.92901611328125, ay, 1.535557746887207, wz, 0.006335739511996508
t, 112.75609439925756, ax, 0.05648399889469147, ay, 1.564911127090454, wz, 0.005175404716283083
t, 112.85509439872112, ax, -0.026026040315628052, ay, 1.2706860303878784, wz, 0.004234852269291878
t, 112.95409439818468, ax, 0.05178268626332283, ay, 1.034734845161438, wz, 0.003472310956567526
t, 113.05309439764824, ax, 0.009305508807301521, ay, 0.7951497435569763, wz, 0.002902535255998373
t, 113.1520943971118, ax, 0.009451324120163918, ay, 0.7901111245155334, wz, 0.0023964012507349253
t, 113.25109439657535, ax, -0.07261913269758224, ay, 0.6060619354248047, wz, 0.0019001343753188848
t, 113.35009439603891, ax, 0.0862443745136261, ay, 0.5040916800498962, wz, 0.0016590302111580968
t, 113.45734439545777, ax, 490.8846130371094, ay, 0.5205507278442383, wz, 0.0011264376807957888
t, 113.55634439492133, ax, -490.9183349609375, ay, 0.036856651306152344, wz, 0.0010532751912251115
t, 113.65534439438488, ax, -0.17196673154830933, ay, 11.159379959106445, wz, 0.013670817017555237
t, 113.75434439384844, ax, -0.1867949366569519, ay, 17.37090301513672, wz, 0.012324969284236431
t, 113.853344393312, ax, 0.3833211064338684, ay, 4.035520553588867, wz, 0.010115970857441425
t, 113.95234439277556, ax, -0.15800701081752777, ay, 2.5337347984313965, wz, 0.00826343335211277
t, 114.05134439223912, ax, -0.20574170351028442, ay, 1.9794330596923828, wz, 0.00674853939563036
t, 114.15034439170267, ax, 0.10787106305360794, ay, 1.5537561178207397, wz, 0.0055058542639017105
t, 114.25759439112153, ax, 490.84002685546875, ay, 1.9792613983154297, wz, 0.004421517718583345
t, 114.35659439058509, ax, -490.7931213378906, ay, 0.7314014434814453, wz, 0.0036944570019841194
t, 114.45559439004865, ax, -0.060781970620155334, ay, 1.0015690326690674, wz, 0.003038476686924696
t, 114.5545943895122, ax, 0.05412045121192932, ay, 0.7242626547813416, wz, 0.002527120988816023
t, 114.65359438897576, ax, 0.01222482230514288, ay, 0.6200211644172668, wz, 0.0020564370788633823
t, 114.75259438843932, ax, 0.0494520328938961, ay, 0.47422751784324646, wz, 0.0015932063106447458
t, 114.85159438790288, ax, -0.12503278255462646, ay, 3.7139737606048584, wz, 0.016472548246383667
t, 114.95059438736644, ax, -0.16639447212219238, ay, 47.01895523071289, wz, 0.027422597631812096
t, 115.05784438678529, ax, 491.3158264160156, ay, 17.115188598632812, wz, 0.02244795672595501
t, 115.15684438624885, ax, -491.1822204589844, ay, 4.49510383605957, wz, 0.018443776294589043
t, 115.25584438571241, ax, -0.22712987661361694, ay, 4.5648908615112305, wz, 0.015151412226259708
t, 115.35484438517597, ax, 0.07267223298549652, ay, 3.695521831512451, wz, 0.012445132248103619
t, 115.45384438463952, ax, 0.1368367075920105, ay, 3.063000202178955, wz, 0.010242139920592308
t, 115.55284438410308, ax, 0.03951672464609146, ay, 2.445629596710205, wz, 0.008421625941991806
t, 115.65184438356664, ax, 0.030714303255081177, ay, 2.125656843185425, wz, 0.0069400654174387455
t, 115.7508443830302, ax, -0.2608455717563629, ay, 1.7502427101135254, wz, 0.005728272721171379
t, 115.85809438244905, ax, 490.88360595703125, ay, 2.1092910766601562, wz, 0.0046339682303369045
t, 115.95709438191261, ax, -490.8320007324219, ay, 0.738067626953125, wz, 0.003837680211290717
t, 116.05609438137617, ax, 0.07412613183259964, ay, 0.9682070016860962, wz, 0.0031462577171623707
t, 116.15509438083973, ax, -0.011045500636100769, ay, 0.8160884380340576, wz, 0.002667440567165613
t, 116.25409438030329, ax, 0.025015829131007195, ay, 0.6997002363204956, wz, 0.0021984924096614122
t, 116.35309437976684, ax, 0.059025269001722336, ay, 0.5283483266830444, wz, 0.0018658096669241786
t, 116.4520943792304, ax, 0.02545216493308544, ay, 0.7046566009521484, wz, 0.0016324234893545508
t, 116.55109437869396, ax, 0.008174958638846874, ay, 0.22493094205856323, wz, 0.001045562676154077
t, 116.65009437815752, ax, -2.7521700859069824, ay, 52.24018096923828, wz, 0.11981141567230225
t, 116.75734437757637, ax, 477.62603759765625, ay, 356.1053771972656, wz, 0.19635605812072754
t, 116.85634437703993, ax, -473.92669677734375, ay, 96.25995635986328, wz, 0.16635893285274506
t, 116.95534437650349, ax, -9.32188606262207, ay, 50.204627990722656, wz, 0.13911882042884827
t, 117.05434437596705, ax, -5.8924407958984375, ay, 39.104026794433594, wz, 0.11665508151054382
t, 117.1533443754306, ax, 3.420646905899048, ay, 32.591060638427734, wz, 0.09784785658121109
t, 117.25234437489416, ax, -0.7707157135009766, ay, 27.36858367919922, wz, 0.08208536356687546
t, 117.35134437435772, ax, -2.0551109313964844, ay, 23.156204223632812, wz, 0.06901058554649353
t, 117.45034437382128, ax, 0.24140453338623047, ay, 19.764101028442383, wz, 0.05816514790058136
t, 117.55759437324014, ax, 490.9794921875, ay, 23.732955932617188, wz, 0.04849240928888321
t, 117.6565943727037, ax, -497.0879821777344, ay, 96.35977172851562, wz, 0.15859411656856537
t, 117.75559437216725, ax, -1.520477294921875, ay, 199.15245056152344, wz, 0.15525878965854645
t, 117.85459437163081, ax, 5.969541549682617, ay, 62.387962341308594, wz, 0.13277412950992584
t, 117.95359437109437, ax, -20.544708251953125, ay, 183.03643798828125, wz, 0.23710784316062927
t, 118.05259437055793, ax, 3.6972503662109375, ay, 176.35177612304688, wz, 0.2108151763677597
t, 118.15159437002148, ax, 3.2510433197021484, ay, 75.43828582763672, wz, 0.18984144926071167
t, 118.25059436948504, ax, -34.13877868652344, ay, 262.17822265625, wz, 0.3029731214046478
t, 118.3578443689039, ax, 502.81591796875, ay, 224.2620849609375, wz, 0.2625941336154938
t, 118.45684436836746, ax, -499.0387878417969, ay, 107.20732879638672, wz, 0.31377914547920227
