t,x,y
4.300000,0.000000,0.000000
4.400000,-0.405147,-0.005242
4.500000,-0.810444,-0.010339
4.600000,-1.215682,-0.015860
4.700000,-1.620596,-0.022150
4.800000,-2.024595,-0.028508
4.900000,-2.430159,-0.035456
5.000000,-2.836151,-0.042728
5.100000,-3.241546,-0.050296
5.200000,-3.646324,-0.057875
5.300000,-4.050758,-0.065513
5.400000,-4.455282,-0.073663
5.500000,-4.858737,-0.082234
5.600000,-5.262260,-0.091218
5.700000,-5.665307,-0.099934
5.800000,-6.068137,-0.108507
5.900000,-6.470871,-0.117815
6.000000,-6.873608,-0.127785
6.100000,-7.276626,-0.138237
6.200000,-7.680249,-0.149157
6.300000,-8.083892,-0.160600
6.400000,-8.488210,-0.172425
6.500000,-8.892388,-0.184473
6.600000,-9.296721,-0.196877
6.700000,-9.701604,-0.209536
6.800000,-10.106543,-0.222331
6.900000,-10.511152,-0.235481
7.000000,-10.915366,-0.248596
7.100000,-11.319941,-0.261564
7.200000,-11.724337,-0.274430
7.300000,-12.128169,-0.287847
7.400000,-12.531854,-0.303215
7.500000,-12.935470,-0.321675
7.600000,-13.339229,-0.344182
7.700000,-13.742743,-0.371866
7.800000,-14.146044,-0.405522
7.900000,-14.548615,-0.444592
8.000000,-14.950631,-0.488175
8.100000,-15.352600,-0.535546
8.200000,-15.754927,-0.586238
8.300000,-16.156099,-0.639970
8.400000,-16.557444,-0.697284
8.500000,-16.958826,-0.758659
8.600000,-17.359587,-0.825128
8.700000,-17.759174,-0.898042
8.800000,-18.157219,-0.978266
8.900000,-18.554075,-1.066814
9.000000,-18.949522,-1.164630
9.100000,-19.343163,-1.272343
9.200000,-19.734041,-1.390753
9.300000,-20.121292,-1.520229
9.400000,-20.503914,-1.660415
9.500000,-20.881815,-1.812028
9.600000,-21.254847,-1.975844
9.700000,-21.621679,-2.151332
9.800000,-21.982714,-2.338265
9.900000,-22.338114,-2.536160
10.000000,-22.687649,-2.744578
10.100000,-23.029995,-2.962764
10.200000,-23.365450,-3.190822
10.300000,-23.694096,-3.428153
10.400000,-24.016054,-3.673078
10.500000,-24.332853,-3.925961
10.600000,-24.644058,-4.185234
10.700000,-24.950871,-4.449485
10.800000,-25.253519,-4.717915
10.900000,-25.553215,-4.990531
11.000000,-25.850628,-5.266201
11.100000,-26.146172,-5.543917
11.200000,-26.439468,-5.822074
11.300000,-26.731962,-6.100809
11.400000,-27.024685,-6.379442
11.500000,-27.317926,-6.657960
11.600000,-27.610779,-6.935954
11.700000,-27.904461,-7.214123
11.800000,-28.197958,-7.491173
11.900000,-28.491550,-7.767356
12.000000,-28.785616,-8.043304
12.100000,-29.079821,-8.318861
12.200000,-29.375156,-8.594228
12.300000,-29.671265,-8.868517
12.400000,-29.968231,-9.141114
12.500000,-30.266832,-9.411343
